Location Name,Region,Business ID,Location Address
APH - Apple House,South West,APH,Apple House
ENDK - Cleveland House,South East,ENDK,Cleveland House
ENDK - Dover Rd,South East,ENDK,Dover Rd
ENDK - Seabrook,South East,ENDK,Seabrook
ENDK - 64 Ardent,South East,ENDK,64 Ardent
ENDK - 62 Ardent,South East,ENDK,62 Ardent
ENDK - 60 Ardent,South East,ENDK,60 Ardent
ENDK - Douglas Rd,South East,ENDK,Douglas Rd
ENDK - 10 Ardent,South East,ENDK,10 Ardent
ENDK - Lower Fant,South East,ENDK,Lower Fant
ENDK - Dunstall,South East,ENDK,Dunstall
ENDK - Claremont,South East,ENDK,Claremont
ENDK - Caesar Court,South East,ENDK,Caesar Court
ENDK - Melita Gibratar,South East,ENDK,Melita Gibratar
ENDK - 80 Coolinge Rd,South East,ENDK,80 Coolinge Rd
ENDK - Coast Drive,South East,ENDK,Coast Drive
ENDK - 2 to 7 Granville Road,South East,ENDK,2 – 7 Granville Road
ENDK - Cherry Garden,South East,ENDK,Cherry Garden
ENDK - 78 Coolinge Rd,South East,ENDK,78 Coolinge Rd
ENDK - 76 Coolinge Rd,South East,ENDK,76 Coolinge Rd
ENDK - Robins,South East,ENDK,Robins
ENDK - Church House,South East,ENDK,Church House
ENDK - Ransgate Rd,South East,ENDK,Ransgate Rd
ENDK - Highcliffe Court,South East,ENDK,Highcliffe Court
ENDK - Darwin,South East,ENDK,Darwin
ENDK - Broadfield,South East,ENDK,Broadfield
ENDK - Johns Close,South East,ENDK,Johns Close
ENDWR - Bewdley Hill,Central,ENDWR,Bewdley Hill
ENDNR - Swan Lane,South East,ENDNR ,Swan Lane
ENDNR - Roseberry,South East,ENDNR ,Roseberry
ASPN - Accrington Rd,North,ASPN,Accrington Rd
ENDNR - Salters Rd,South East,ENDNR ,Salters Rd
ENDNR - Gloucester Rd,South East,ENDNR ,Gloucester Rd
ASPN - Albion St,North,ASPN,Albion St
ASPN - Trinity Cl,North,ASPN,Trinity Cl
ENDWR - Pineridge Drive,Central,ENDWR,Pineridge Drive
ASPN - South Ave,North,ASPN,South Ave
JAM - Hurrell Down,South East,JAM,Hurrell Down
ASPN - Colwyn Ave,North,ASPN,Colwyn Ave
JAM - 30 Turner Rd,South East,JAM,30 Turner Rd
JAM - 32 Turner Rd,South East,JAM,32 Turner Rd
JAM - 39a Turner Rd,South East,JAM,39a Turner Rd
JAM - 45 Cavendish Ave,South East,JAM,45 Cavendish Ave
JAM - Cornflower Cl,South East,JAM,Cornflower Cl
JAM - Nayland Rd,South East,JAM,Nayland Rd
WEL - Clarence Ave,Central,WEL,Clarence Ave
JAM - 140 Mill Rd,South East,JAM,140 Mill Rd
JAM - 189A Mill Rd,South East,JAM,#N/A
ENDWR - 6 Bewdley Grange,Central,ENDWR,6 Bewdley Grange
COR - Semington,South West,COR,Semington
ASPN - Noel Rd,North,ASPN,Noel Rd
ENDNR - Dodsman Cl,South East,ENDNR ,Dodsman Cl
ASPN - Carlyle Gr,North,ASPN,Carlyle Gr
ASPN - Hidings Court Lane,North,ASPN,Hidings Court Lane
ENDWR - Walter Nash Rd,Central,ENDWR,Walter Nash Rd
WES - 8 Acres,South East,WES,8 Acres
ASPN - Sizergh Rd,North,ASPN,Sizergh Rd
ATL - Meadowside,South West,ATL,Meadowside
ASPN - Claret Cl,North,ASPN,Claret Cl
JAM - Little Priors,South East,JAM,Little Priors
